liability,selection,candidate_model,benchmark_model,bootstrap_method,block_length,aggregation,tail_probability,inference_version,level,ticker,n_tickers,metric,estimate,ci_low,ci_high,bootstrap_probability_gt_zero,n_bootstrap,confidence
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLF,1,liability_offset_mean_difference,0.006283557405733849,0.002790814070113612,0.00999014728184446,1.0,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLF,1,liability_offset_cvar50_difference,0.007526483837905586,0.0032803293913369045,0.012343043311959968,1.0,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLF,1,liability_offset_rmse_improvement,0.003784182980600502,0.00011645031720868793,0.007659698536703349,0.979,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLF,1,liability_offset_downside_deviation_improvement,0.0045371823238707296,0.0006812721169934617,0.008645440975878053,0.9905,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLK,1,liability_offset_mean_difference,0.008714222658929646,-0.0008825825298818824,0.018222819471058593,0.962,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLK,1,liability_offset_cvar50_difference,0.0076591879925081265,-0.004668758526862439,0.019320960399460727,0.884,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLK,1,liability_offset_rmse_improvement,0.001156851675876049,-0.006283192825695714,0.008338258430989754,0.6065,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLK,1,liability_offset_downside_deviation_improvement,0.0028407325340175198,-0.006011186829042148,0.011691976291887214,0.719,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLV,1,liability_offset_mean_difference,0.005851225432193398,-0.0006105909817911287,0.011817186095624991,0.9635,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLV,1,liability_offset_cvar50_difference,0.0024202637066813547,-0.00545047333912054,0.009480554463510519,0.743,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLV,1,liability_offset_rmse_improvement,-0.0024824591013020408,-0.007521300786310311,0.0021967838234344546,0.149,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,ticker,XLV,1,liability_offset_downside_deviation_improvement,-0.0011138962086974593,-0.007171525282103168,0.004835797054293514,0.3695,2000,0.95
asian_call,best_screened_proto_mean,validation-selected ProtoHedge,Spot Delta,paired_circular_block_seed_average,20,seed_average_then_equal_ticker,0.5,paired-circular-block-seed-average-v2,panel,ALL_EQUAL_WEIGHT,10,liability_offset_mean_difference,0.004646661413637391,0.0021346219548874865,0.007066009732529266,1.0,2000,0.95
