PERMNO,date,PRC
60716,1975-09-19,-13.37500
60716,1975-09-22,-13.37500
60716,1975-09-23,-13.12500
60716,1975-09-24,-13.12500
60716,1975-09-25,-13.12500
60716,1975-09-26,-13.12500
60716,1975-09-29,-13.37500
60716,1975-09-30,-13.12500
60716,1975-10-01,-12.62500
60716,1975-10-02,-12.87500
60716,1975-10-03,-12.87500
60716,1975-10-06,-13.87500
60716,1975-10-07,-13.87500
60716,1975-10-08,-12.87500
60716,1975-10-09,-12.87500
60716,1975-10-10,-13.12500
60716,1975-10-13,-13.37500
60716,1975-10-14,-13.87500
60716,1975-10-15,-13.87500
60716,1975-10-16,-13.87500
60716,1975-10-17,-13.87500
60716,1975-10-20,-13.87500
60716,1975-10-21,-13.62500
60716,1975-10-22,-13.62500
60716,1975-10-23,-13.62500
60716,1975-10-24,-13.62500
60716,1975-10-27,-13.62500
60716,1975-10-28,-13.62500
60716,1975-10-29,-15.12500
60716,1975-10-30,-14.87500
60716,1975-10-31,-14.62500
60716,1975-11-03,-14.37500
60716,1975-11-04,-14.37500
60716,1975-11-05,-14.37500
60716,1975-11-06,-15.37500
60716,1975-11-07,-15.12500
60716,1975-11-10,-15.87500
60716,1975-11-11,-15.87500
60716,1975-11-12,-16.37500
60716,1975-11-13,-16.62500
60716,1975-11-14,-16.62500
60716,1975-11-17,-16.37500
60716,1975-11-18,-15.37500
60716,1975-11-19,-14.37500
60716,1975-11-20,-14.37500
60716,1975-11-21,-14.12500
60716,1975-11-24,-14.62500
60716,1975-11-25,-14.62500
60716,1975-11-26,-14.87500
60716,1975-11-28,-14.87500
60716,1975-12-01,-14.37500
60716,1975-12-02,-14.12500
60716,1975-12-03,-13.62500
60716,1975-12-04,-13.62500
60716,1975-12-05,-14.12500
60716,1975-12-08,-14.12500
60716,1975-12-09,-14.12500
60716,1975-12-10,-14.12500
60716,1975-12-11,-14.12500
60716,1975-12-12,-14.37500
60716,1975-12-15,-14.37500
60716,1975-12-16,-14.37500
60716,1975-12-17,-13.87500
60716,1975-12-18,-13.62500
60716,1975-12-19,-13.37500
60716,1975-12-22,-12.87500
60716,1975-12-23,-13.12500
60716,1975-12-24,-13.37500
60716,1975-12-26,-13.37500
60716,1975-12-29,-13.37500
60716,1975-12-30,-13.37500
60716,1975-12-31,-13.37500
60716,1976-01-02,-13.37500
60716,1976-01-05,-13.87500
60716,1976-01-06,-13.87500
60716,1976-01-07,-13.62500
60716,1976-01-08,-13.62500
60716,1976-01-09,-13.62500
60716,1976-01-12,-13.62500
60716,1976-01-13,-14.87500
60716,1976-01-14,-15.37500
60716,1976-01-15,-14.87500
60716,1976-01-16,-14.87500
60716,1976-01-19,-14.87500
60716,1976-01-20,-15.12500
60716,1976-01-21,-14.87500
60716,1976-01-22,-14.87500
60716,1976-01-23,-14.62500
60716,1976-01-26,-14.37500
60716,1976-01-27,-14.12500
60716,1976-01-28,-12.37500
60716,1976-01-29,-13.37500
60716,1976-01-30,-13.62500
60716,1976-02-02,-13.62500
60716,1976-02-03,-13.62500
60716,1976-02-04,-14.12500
60716,1976-02-05,-13.87500
60716,1976-02-06,-13.62500
60716,1976-02-09,-14.37500
60716,1976-02-10,-14.37500
60716,1976-02-11,-15.87500
60716,1976-02-12,-16.87500
60716,1976-02-13,-17.37500
60716,1976-02-17,-16.62500
60716,1976-02-18,-16.87500
60716,1976-02-19,-17.12500
60716,1976-02-20,-17.12500
60716,1976-02-23,-16.62500
60716,1976-02-24,-15.87500
60716,1976-02-25,-16.62500
60716,1976-02-26,-16.12500
60716,1976-02-27,-15.62500
60716,1976-03-01,-15.37500
60716,1976-03-02,-16.37500
60716,1976-03-03,-16.37500
60716,1976-03-04,-17.37500
60716,1976-03-05,-16.87500
60716,1976-03-08,-18.12500
60716,1976-03-09,-18.12500
60716,1976-03-10,-18.12500
60716,1976-03-11,-18.37500
60716,1976-03-12,-17.62500
60716,1976-03-15,-16.37500
60716,1976-03-16,-16.62500
60716,1976-03-17,-17.12500
60716,1976-03-18,-17.12500
60716,1976-03-19,-17.12500
60716,1976-03-22,-17.12500
60716,1976-03-23,-17.37500
60716,1976-03-24,-17.62500
60716,1976-03-25,-17.87500
60716,1976-03-26,-17.87500
60716,1976-03-29,-17.87500
60716,1976-03-30,-17.62500
60716,1976-03-31,-18.12500
60716,1976-04-01,-18.87500
60716,1976-04-02,-18.62500
60716,1976-04-05,-19.12500
60716,1976-04-06,-18.62500
60716,1976-04-07,-18.62500
60716,1976-04-08,-18.12500
60716,1976-04-09,-17.37500
60716,1976-04-12,-17.12500
60716,1976-04-13,-16.62500
60716,1976-04-14,-16.62500
60716,1976-04-15,-16.62500
60716,1976-04-19,-17.12500
60716,1976-04-20,-17.87500
60716,1976-04-21,-18.12500
60716,1976-04-22,-17.87500
60716,1976-04-23,-17.37500
60716,1976-04-26,-16.62500
60716,1976-04-27,-15.87500
60716,1976-04-28,-15.87500
60716,1976-04-29,-15.87500
60716,1976-04-30,-15.62500
60716,1976-05-03,-15.62500
60716,1976-05-04,-16.12500
60716,1976-05-05,-16.37500
60716,1976-05-06,-16.37500
60716,1976-05-07,-17.12500
60716,1976-05-10,-18.12500
60716,1976-05-11,-17.87500
60716,1976-05-12,-17.37500
60716,1976-05-13,-17.37500
60716,1976-05-14,-16.87500
60716,1976-05-17,-16.87500
60716,1976-05-18,-16.12500
60716,1976-05-19,-15.12500
60716,1976-05-20,-15.62500
60716,1976-05-21,-15.62500
60716,1976-05-24,-15.12500
60716,1976-05-25,-15.12500
60716,1976-05-26,-15.37500
60716,1976-05-27,-16.12500
60716,1976-05-28,-16.87500
60716,1976-06-01,-16.87500
60716,1976-06-02,-17.12500
60716,1976-06-03,-16.62500
60716,1976-06-04,-16.12500
60716,1976-06-07,-16.12500
60716,1976-06-08,-16.12500
60716,1976-06-09,-15.62500
60716,1976-06-10,-15.87500
60716,1976-06-11,-16.12500
60716,1976-06-14,-16.87500
60716,1976-06-15,-16.62500
60716,1976-06-16,-16.87500
60716,1976-06-17,-16.12500
60716,1976-06-18,-15.87500
60716,1976-06-21,-15.87500
60716,1976-06-22,-15.87500
60716,1976-06-23,-15.12500
60716,1976-06-24,-15.12500
60716,1976-06-25,-15.62500
60716,1976-06-28,-15.12500
60716,1976-06-29,-15.37500
60716,1976-06-30,-16.12500
60716,1976-07-01,-15.62500
60716,1976-07-02,-15.87500
60716,1976-07-06,-15.62500
60716,1976-07-07,-15.62500
60716,1976-07-08,-15.62500
60716,1976-07-09,-15.87500
60716,1976-07-12,-16.37500
60716,1976-07-13,-16.37500
60716,1976-07-14,-16.62500
60716,1976-07-15,-16.87500
60716,1976-07-16,-16.87500
60716,1976-07-19,-16.87500
60716,1976-07-20,-17.37500
60716,1976-07-21,-17.12500
60716,1976-07-22,-17.37500
60716,1976-07-23,-17.37500
60716,1976-07-26,-17.12500
60716,1976-07-27,-16.87500
60716,1976-07-28,-17.12500
60716,1976-07-29,-16.87500
60716,1976-07-30,-16.87500
60716,1976-08-02,-16.87500
60716,1976-08-03,-16.62500
60716,1976-08-04,-16.37500
60716,1976-08-05,-15.87500
60716,1976-08-06,-16.12500
60716,1976-08-09,-16.12500
60716,1976-08-10,-15.87500
